CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
43,Female,72,23,5446.05,675704.75,Annually,Bank Transfer,No,No,Yes,Yes,Yes,Yes,No,Yes
44,Female,31,50,4159.44,219222.05,Monthly,Credit Card,DSL,No,Yes,No,Yes,Yes,Yes,Yes
45,Female,72,51,5704.59,293609.32,Semi Annually,Digital Wallet,Fiber optic,No,No,No,No,No,Yes,Yes
46,Female,31,43,10762.53,649280.75,Annually,Cash,DSL,No,Yes,Yes,No,No,Yes,No
47,Female,27,51,4738.09,104819.0,Monthly,Credit Card,Fiber optic,Yes,No,Yes,Yes,No,Yes,No
48,Male,29,69,4963.52,374374.92,Monthly,Cheque,DSL,Yes,No,Yes,Yes,Yes,No,Yes
49,Female,55,41,7379.16,106649.69,Annually,Cash,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes
50,Female,61,11,9085.39,359060.37,Quarterly,Bank Transfer,DSL,No,No,No,No,Yes,No,Yes
51,Male,72,52,8868.53,47240.26,Annually,Cheque,DSL,Yes,No,No,No,No,No,No
52,Female,63,23,433.63,418922.03,Semi Annually,Cash,DSL,Yes,Yes,Yes,No,No,No,Yes
53,Male,51,49,8311.5,638610.68,Monthly,Cash,No,Yes,No,No,Yes,Yes,No,No
54,Female,58,38,5516.54,544274.37,Quarterly,Credit Card,Fiber optic,No,No,Yes,No,Yes,No,No
55,Male,27,47,6384.26,412243.52,Annually,Bank Transfer,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
56,Female,75,7,6827.63,664719.38,Annually,Bank Transfer,Fiber optic,Yes,No,No,No,Yes,No,No
57,Female,34,66,8834.29,189952.5,Monthly,Bank Transfer,No,No,Yes,No,Yes,Yes,Yes,Yes
58,Male,34,62,10009.73,666329.07,Annually,Credit Card,No,No,Yes,Yes,No,Yes,No,No
59,Male,20,29,7825.88,228327.15,Semi Annually,Credit Card,No,No,Yes,No,Yes,No,No,Yes
60,Male,79,38,6854.11,296364.21,Quarterly,Bank Transfer,No,Yes,Yes,No,No,Yes,No,No
61,Male,48,33,4610.48,111459.86,Semi Annually,Cash,DSL,No,No,No,No,Yes,Yes,Yes
62,Male,68,29,1826.96,90386.26,Monthly,Bank Transfer,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes
63,Male,18,23,11511.22,746368.1,Quarterly,Credit Card,DSL,No,Yes,No,Yes,Yes,Yes,No
64,Male,29,3,5649.74,160082.82,Monthly,Bank Transfer,No,No,No,Yes,Yes,No,No,Yes
65,Male,56,45,6881.3,273303.96,Monthly,Credit Card,No,Yes,Yes,No,Yes,Yes,Yes,No
66,Female,21,8,9062.66,428029.84,Semi Annually,Bank Transfer,DSL,Yes,Yes,No,No,Yes,Yes,Yes
67,Female,59,29,1007.24,284815.03,Quarterly,Cash,Fiber optic,No,Yes,Yes,Yes,No,Yes,No
68,Male,30,2,10289.13,697405.29,Monthly,Cash,No,No,Yes,Yes,No,No,No,No
69,Female,51,50,9604.9,721564.66,Semi Annually,Credit Card,DSL,Yes,Yes,Yes,Yes,No,No,No
70,Female,59,65,9338.26,267532.46,Semi Annually,Credit Card,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes
71,Female,38,20,459.4,82701.88,Quarterly,Cheque,DSL,No,Yes,No,No,No,No,No
72,Female,39,52,6412.92,176025.0,Annually,Digital Wallet,DSL,Yes,Yes,No,Yes,Yes,No,Yes
73,Male,74,37,840.37,384770.41,Annually,Cheque,Fiber optic,Yes,No,No,Yes,Yes,No,Yes
74,Female,21,27,6700.3,237900.02,Monthly,Credit Card,Fiber optic,Yes,No,Yes,Yes,No,Yes,No
75,Male,35,47,8677.69,368243.07,Annually,Credit Card,No,Yes,Yes,No,No,No,Yes,Yes
76,Female,22,6,1637.83,609375.76,Quarterly,Bank Transfer,No,Yes,No,No,No,Yes,No,Yes
77,Female,36,60,8399.62,342304.36,Annually,Cheque,Fiber optic,Yes,Yes,No,No,No,No,No
78,Female,19,45,5504.49,165627.99,Quarterly,Digital Wallet,Fiber optic,Yes,No,Yes,No,Yes,No,No
79,Male,29,44,9776.32,292794.44,Monthly,Cheque,DSL,No,No,Yes,No,No,Yes,No
80,Female,34,18,6496.35,596955.16,Annually,Cash,DSL,No,No,Yes,Yes,Yes,No,Yes
81,Male,27,65,4166.23,345009.07,Quarterly,Cash,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes
82,Female,51,25,4117.5,207134.9,Quarterly,Cheque,No,Yes,Yes,No,Yes,Yes,Yes,No
83,Male,23,27,10790.34,347655.19,Quarterly,Cheque,No,Yes,No,Yes,Yes,Yes,Yes,No
84,Female,25,7,5543.88,369297.28,Semi Annually,Credit Card,No,Yes,Yes,No,Yes,Yes,Yes,Yes
85,Male,78,44,4987.9,244137.99,Monthly,Bank Transfer,No,Yes,Yes,Yes,No,No,Yes,No
86,Male,68,29,670.51,796591.22,Quarterly,Cash,DSL,Yes,No,No,Yes,Yes,No,No
87,Female,28,44,4499.03,616424.55,Semi Annually,Digital Wallet,No,No,No,Yes,No,Yes,No,Yes
88,Male,74,36,10225.6,557039.44,Semi Annually,Bank Transfer,No,Yes,Yes,Yes,No,No,No,No
89,Female,29,19,9179.65,685344.92,Quarterly,Cheque,DSL,Yes,No,No,Yes,No,No,Yes
90,Female,26,6,2806.78,536471.16,Monthly,Cash,DSL,Yes,Yes,Yes,No,No,Yes,No
91,Female,19,25,5074.07,634874.47,Annually,Cheque,Fiber optic,Yes,Yes,Yes,Yes,No,No,No
92,Female,25,31,2519.64,335895.26,Semi Annually,Cash,DSL,Yes,Yes,No,No,Yes,No,Yes
93,Female,75,9,11459.76,405293.7,Quarterly,Digital Wallet,No,Yes,Yes,Yes,Yes,Yes,Yes,No
94,Female,28,37,7257.79,47127.14,Monthly,Bank Transfer,DSL,Yes,Yes,Yes,Yes,No,Yes,No
95,Female,77,27,9101.39,231710.65,Monthly,Digital Wallet,No,Yes,No,No,No,Yes,Yes,No
96,Female,70,13,8622.94,300729.8,Quarterly,Digital Wallet,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes
97,Female,53,41,10509.53,504121.48,Semi Annually,Bank Transfer,Fiber optic,No,No,No,Yes,Yes,No,No
98,Female,27,66,11402.07,376726.91,Annually,Bank Transfer,Fiber optic,Yes,No,Yes,No,Yes,No,No
99,Female,38,24,582.86,490192.23,Monthly,Digital Wallet,No,No,No,Yes,Yes,No,Yes,No
100,Male,37,44,11708.55,573528.59,Annually,Cheque,No,Yes,No,Yes,Yes,No,No,No
101,Male,65,60,10472.4,43747.75,Monthly,Bank Transfer,Fiber optic,Yes,No,No,No,Yes,Yes,No
102,Female,25,9,4718.78,214039.42,Monthly,Digital Wallet,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes
103,Female,53,2,10077.42,145014.06,Monthly,Digital Wallet,No,No,Yes,No,Yes,No,Yes,Yes
104,Female,46,56,8891.38,158089.54,Semi Annually,Digital Wallet,No,No,No,No,Yes,No,No,No
105,Female,59,30,9558.75,407469.06,Semi Annually,Cheque,No,Yes,Yes,No,Yes,Yes,Yes,No
106,Female,29,22,2804.15,594583.23,Quarterly,Credit Card,No,Yes,No,Yes,Yes,Yes,Yes,No
107,Female,78,13,7853.05,225493.86,Annually,Credit Card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes
108,Female,31,71,505.93,661314.9,Annually,Bank Transfer,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
109,Female,65,16,10209.1,715040.65,Quarterly,Credit Card,DSL,No,Yes,Yes,No,No,No,Yes
110,Male,71,45,11422.31,286921.76,Semi Annually,Cash,DSL,No,Yes,No,No,No,Yes,No
111,Female,67,65,8013.06,548271.67,Annually,Bank Transfer,No,No,No,No,No,Yes,No,Yes
112,Male,38,11,6249.5,102468.94,Quarterly,Bank Transfer,Fiber optic,No,No,Yes,No,No,No,Yes
113,Female,39,70,8763.63,597782.35,Monthly,Digital Wallet,No,Yes,No,No,No,No,No,Yes
114,Female,38,20,4051.06,140368.86,Annually,Cash,DSL,Yes,No,No,No,Yes,Yes,Yes
115,Male,61,63,7591.38,553058.48,Semi Annually,Credit Card,No,No,Yes,Yes,Yes,Yes,No,No
116,Female,67,12,8683.88,343301.0,Annually,Bank Transfer,DSL,No,No,Yes,Yes,No,No,No
117,Male,47,62,1883.63,743480.49,Monthly,Cash,DSL,No,Yes,No,Yes,No,Yes,No
118,Female,56,42,1852.8,376923.86,Semi Annually,Cheque,Fiber optic,No,Yes,Yes,No,No,Yes,No
119,Female,37,69,8650.43,34413.23,Semi Annually,Cheque,No,No,No,Yes,No,No,Yes,Yes
120,Male,41,58,5295.03,389728.54,Quarterly,Digital Wallet,Fiber optic,Yes,Yes,No,No,No,No,No
121,Female,40,5,10692.58,638444.01,Semi Annually,Cash,DSL,Yes,No,No,Yes,No,No,Yes
122,Male,24,27,3880.88,521196.62,Quarterly,Bank Transfer,DSL,Yes,No,No,Yes,No,Yes,Yes
123,Female,26,28,700.68,773389.01,Semi Annually,Cheque,No,Yes,No,Yes,No,Yes,No,No
124,Male,18,26,7868.54,676185.27,Monthly,Cheque,No,No,No,No,No,Yes,No,Yes
125,Male,43,49,8274.02,425975.81,Monthly,Credit Card,No,No,No,No,No,Yes,Yes,No
126,Female,55,21,6732.38,173151.25,Monthly,Credit Card,No,Yes,Yes,Yes,No,No,Yes,No
127,Female,55,1,8263.33,12981.96,Monthly,Cash,DSL,No,No,Yes,Yes,Yes,No,Yes
128,Male,71,58,6380.3,784596.89,Monthly,Credit Card,DSL,Yes,No,No,Yes,No,Yes,Yes
129,Female,78,55,8373.07,751272.56,Annually,Cash,DSL,No,No,No,Yes,Yes,Yes,Yes
130,Female,61,26,718.46,226573.76,Monthly,Bank Transfer,Fiber optic,Yes,Yes,Yes,No,No,No,No
131,Female,39,25,4547.09,514190.47,Semi Annually,Bank Transfer,Fiber optic,No,No,Yes,Yes,Yes,Yes,No
132,Male,61,33,2687.64,586099.25,Quarterly,Bank Transfer,Fiber optic,No,No,No,No,Yes,Yes,Yes
133,Male,27,69,1372.05,466630.63,Annually,Credit Card,No,Yes,Yes,No,No,Yes,Yes,No
134,Male,72,6,2962.29,675939.72,Semi Annually,Credit Card,DSL,No,Yes,Yes,No,No,Yes,Yes
135,Male,79,23,2457.47,71481.47,Monthly,Digital Wallet,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes
136,Male,75,30,11682.95,718230.29,Monthly,Cheque,No,Yes,Yes,Yes,No,No,No,Yes
137,Male,23,54,3581.24,319695.02,Semi Annually,Bank Transfer,No,No,Yes,No,No,Yes,Yes,Yes
138,Male,34,11,2925.32,389745.12,Annually,Credit Card,No,Yes,Yes,No,No,Yes,No,Yes
139,Male,68,31,10051.52,361339.58,Quarterly,Cheque,DSL,No,No,No,No,Yes,No,Yes
140,Male,67,6,5145.57,429716.12,Quarterly,Bank Transfer,No,No,Yes,Yes,No,Yes,Yes,Yes
141,Female,55,11,5173.29,482553.09,Quarterly,Bank Transfer,Fiber optic,No,No,Yes,No,Yes,Yes,No
142,Male,41,12,5434.37,571171.31,Quarterly,Cheque,No,No,No,No,Yes,Yes,Yes,No
143,Female,68,66,5115.11,424702.87,Monthly,Cheque,DSL,No,Yes,Yes,No,No,Yes,No
144,Female,27,53,4053.47,550970.87,Annually,Credit Card,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
145,Female,73,36,3578.81,277254.98,Monthly,Cheque,No,No,Yes,No,Yes,Yes,No,Yes
146,Male,25,17,10607.12,749977.89,Annually,Cheque,DSL,Yes,No,No,No,Yes,No,No
147,Male,38,28,2108.15,60979.51,Quarterly,Credit Card,DSL,Yes,No,Yes,No,Yes,No,Yes
148,Male,73,22,2336.54,440977.08,Semi Annually,Bank Transfer,Fiber optic,No,No,No,Yes,Yes,Yes,Yes
149,Male,23,7,6946.29,79042.98,Semi Annually,Cheque,Fiber optic,Yes,No,No,Yes,No,Yes,Yes
150,Female,38,15,4255.17,359785.96,Monthly,Digital Wallet,No,No,No,Yes,Yes,Yes,No,No
151,Male,74,11,5174.05,213490.06,Semi Annually,Cash,DSL,Yes,Yes,No,No,Yes,Yes,Yes
152,Male,79,24,9717.25,750153.73,Monthly,Cheque,DSL,Yes,Yes,Yes,No,No,No,No
153,Male,56,67,10862.85,20329.56,Monthly,Cheque,DSL,Yes,No,Yes,Yes,No,No,No
154,Male,41,30,9528.53,319050.87,Annually,Cash,Fiber optic,Yes,Yes,No,Yes,Yes,No,No
155,Male,50,70,2972.15,627813.77,Quarterly,Digital Wallet,DSL,No,Yes,No,No,No,Yes,Yes
156,Female,76,66,11763.66,158884.52,Quarterly,Bank Transfer,Fiber optic,Yes,No,Yes,Yes,No,No,No
157,Male,35,61,4485.48,654314.68,Quarterly,Digital Wallet,DSL,No,Yes,Yes,No,No,Yes,No
158,Female,73,41,2194.99,689182.82,Quarterly,Cash,Fiber optic,Yes,No,Yes,No,No,No,Yes
159,Male,45,51,6094.06,569322.37,Annually,Cheque,No,No,No,No,No,No,No,Yes
160,Female,74,44,8758.37,175164.65,Quarterly,Bank Transfer,No,Yes,Yes,Yes,No,Yes,Yes,Yes
161,Male,69,13,1182.6,224910.54,Quarterly,Digital Wallet,DSL,No,No,No,Yes,No,Yes,Yes
162,Male,49,12,7684.59,141878.44,Semi Annually,Digital Wallet,DSL,No,No,Yes,Yes,Yes,Yes,No
163,Female,29,9,10325.32,155410.35,Quarterly,Bank Transfer,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes
164,Female,65,48,3289.02,38828.91,Quarterly,Digital Wallet,Fiber optic,No,Yes,No,No,No,Yes,No
165,Female,59,49,8378.85,687278.91,Monthly,Cash,Fiber optic,No,Yes,Yes,No,No,Yes,Yes
166,Male,44,53,4918.92,427516.81,Monthly,Bank Transfer,DSL,No,Yes,No,Yes,Yes,No,Yes
167,Female,27,56,5086.79,268929.79,Quarterly,Cash,Fiber optic,Yes,No,No,Yes,Yes,Yes,No
168,Male,63,40,3513.61,238765.83,Monthly,Bank Transfer,DSL,Yes,Yes,No,Yes,No,Yes,Yes
169,Male,74,24,7567.85,440310.07,Semi Annually,Cash,Fiber optic,No,Yes,Yes,No,Yes,Yes,No
170,Female,69,33,4459.79,268081.01,Semi Annually,Cheque,DSL,No,Yes,No,Yes,No,No,Yes
171,Female,59,23,10004.66,692337.2,Semi Annually,Cheque,Fiber optic,Yes,No,No,No,No,No,Yes
172,Male,49,54,11562.28,176656.37,Annually,Digital Wallet,Fiber optic,No,No,No,No,No,No,Yes
173,Male,59,53,11234.03,707018.42,Semi Annually,Bank Transfer,Fiber optic,Yes,Yes,No,No,No,No,No
174,Female,43,49,2124.91,534633.04,Quarterly,Bank Transfer,DSL,No,No,Yes,No,Yes,No,Yes
175,Female,42,49,367.45,765737.08,Semi Annually,Cash,No,No,Yes,No,No,Yes,No,Yes
176,Female,28,60,5373.93,21934.72,Semi Annually,Digital Wallet,No,Yes,No,Yes,Yes,No,No,No
177,Male,40,65,8800.83,56685.5,Semi Annually,Digital Wallet,DSL,No,No,Yes,No,Yes,No,No
178,Male,51,32,11733.97,405706.73,Semi Annually,Bank Transfer,DSL,Yes,No,No,No,No,Yes,Yes
179,Male,74,21,9444.38,730779.28,Monthly,Cheque,No,No,Yes,Yes,Yes,No,No,Yes
180,Male,69,18,7050.48,587328.01,Semi Annually,Bank Transfer,No,No,Yes,Yes,No,No,No,No
181,Male,57,60,510.96,501487.39,Semi Annually,Bank Transfer,Fiber optic,No,No,No,Yes,Yes,Yes,No
182,Male,79,13,9941.38,34965.7,Monthly,Credit Card,Fiber optic,Yes,No,No,No,Yes,No,Yes
183,Female,40,24,2290.31,289789.39,Monthly,Cash,DSL,No,Yes,Yes,Yes,No,Yes,No
184,Male,46,30,856.16,283223.79,Annually,Cash,No,Yes,Yes,Yes,Yes,Yes,No,Yes
185,Male,48,2,10234.23,438247.69,Quarterly,Credit Card,No,Yes,No,No,No,No,No,No
186,Male,24,25,6881.76,213683.95,Annually,Digital Wallet,DSL,Yes,Yes,Yes,No,Yes,No,Yes
187,Female,57,50,1716.91,221053.01,Monthly,Cash,No,Yes,Yes,Yes,No,No,No,Yes
188,Male,50,14,4761.2,500480.03,Monthly,Digital Wallet,Fiber optic,No,No,Yes,Yes,Yes,No,Yes
189,Male,38,6,1209.39,756208.36,Monthly,Cheque,No,Yes,No,No,Yes,No,Yes,Yes
190,Female,19,30,7728.53,531541.49,Annually,Digital Wallet,No,Yes,Yes,No,Yes,No,No,No
191,Male,35,30,3532.64,537822.8,Semi Annually,Cash,Fiber optic,No,Yes,No,No,No,No,No
192,Male,64,38,10419.91,789109.7,Quarterly,Digital Wallet,No,No,No,No,No,No,Yes,No
193,Male,50,58,4421.99,131247.75,Quarterly,Cheque,Fiber optic,No,No,No,Yes,Yes,No,Yes
194,Male,54,41,6036.68,36729.47,Semi Annually,Credit Card,Fiber optic,No,Yes,No,No,No,Yes,No
195,Male,51,57,949.58,598956.02,Quarterly,Cash,Fiber optic,Yes,No,No,Yes,No,Yes,No
196,Female,37,36,3451.99,356642.07,Semi Annually,Cheque,No,Yes,No,Yes,No,Yes,Yes,No
197,Female,52,64,8185.85,348770.45,Annually,Bank Transfer,Fiber optic,Yes,No,No,No,Yes,Yes,Yes
198,Female,68,16,8887.9,187989.67,Monthly,Credit Card,DSL,No,Yes,No,No,Yes,Yes,No
199,Male,67,14,3065.3,410421.8,Semi Annually,Credit Card,No,No,No,No,No,Yes,No,No
200,Male,78,31,6145.08,359316.15,Semi Annually,Cash,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes
201,Male,71,66,9846.87,282905.51,Monthly,Cheque,DSL,No,No,Yes,No,No,No,No
202,Female,35,68,4682.94,359768.68,Monthly,Bank Transfer,DSL,Yes,No,Yes,No,Yes,Yes,No
203,Male,63,65,1778.5,313229.47,Quarterly,Cheque,Fiber optic,No,Yes,No,Yes,No,No,Yes
204,Male,79,55,5296.07,752518.12,Semi Annually,Digital Wallet,DSL,No,Yes,Yes,No,Yes,Yes,Yes
205,Female,41,40,7287.42,784398.81,Monthly,Cash,Fiber optic,No,Yes,No,Yes,No,Yes,No
206,Male,25,25,287.3,673521.74,Quarterly,Digital Wallet,DSL,Yes,No,No,No,Yes,Yes,Yes
207,Female,78,25,4313.1,792427.13,Annually,Digital Wallet,No,No,Yes,Yes,Yes,Yes,Yes,No
208,Female,47,3,7367.74,219918.35,Semi Annually,Credit Card,Fiber optic,No,No,Yes,Yes,Yes,No,No
209,Female,61,69,11432.56,675910.84,Annually,Credit Card,DSL,Yes,Yes,No,Yes,No,Yes,No
210,Male,70,26,5020.88,331236.92,Monthly,Digital Wallet,DSL,Yes,Yes,No,Yes,No,No,Yes
211,Male,27,40,2123.07,599447.75,Monthly,Cheque,Fiber optic,Yes,No,Yes,No,No,Yes,Yes
212,Male,40,38,6503.79,169100.19,Semi Annually,Cash,No,No,No,No,No,Yes,No,No
213,Male,69,38,3571.88,651445.31,Annually,Cash,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes
214,Male,66,68,2734.4,75936.9,Monthly,Cheque,DSL,Yes,No,Yes,Yes,Yes,No,Yes
215,Male,28,7,7166.76,223740.59,Semi Annually,Digital Wallet,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes
216,Male,19,30,11007.43,659342.57,Semi Annually,Cash,No,Yes,Yes,No,No,Yes,Yes,Yes
217,Female,75,19,10055.65,600255.79,Semi Annually,Credit Card,DSL,No,Yes,Yes,Yes,Yes,No,Yes
218,Male,43,35,2351.05,405984.94,Monthly,Bank Transfer,No,No,Yes,No,No,No,No,Yes
219,Female,53,33,9237.38,541506.29,Monthly,Credit Card,No,No,Yes,Yes,Yes,Yes,No,Yes
220,Male,50,33,2912.45,156603.48,Semi Annually,Cheque,DSL,Yes,Yes,Yes,No,Yes,No,Yes
221,Male,64,38,3630.27,537533.26,Quarterly,Bank Transfer,No,Yes,Yes,No,No,No,Yes,Yes
222,Male,30,10,11056.61,16301.17,Semi Annually,Cash,DSL,No,No,Yes,Yes,Yes,Yes,Yes
223,Female,57,57,10950.39,668240.54,Semi Annually,Cash,No,Yes,No,No,Yes,Yes,Yes,No
224,Female,42,28,2189.84,417867.21,Semi Annually,Bank Transfer,No,Yes,No,No,Yes,Yes,No,No
225,Female,21,38,957.46,755663.98,Quarterly,Cash,DSL,No,Yes,Yes,No,Yes,No,No
226,Female,59,16,3658.79,387749.77,Annually,Bank Transfer,No,No,Yes,Yes,Yes,No,Yes,Yes
227,Male,36,21,7064.95,352138.95,Monthly,Digital Wallet,No,Yes,No,Yes,Yes,No,No,Yes
228,Female,35,6,10547.32,365541.72,Monthly,Cheque,No,Yes,Yes,Yes,Yes,Yes,No,No
229,Male,54,41,1602.28,294185.61,Annually,Credit Card,Fiber optic,No,No,No,Yes,No,No,No
230,Male,47,15,5096.51,141673.32,Semi Annually,Bank Transfer,No,No,Yes,Yes,Yes,Yes,Yes,No
231,Female,36,3,3406.65,675229.55,Semi Annually,Bank Transfer,Fiber optic,No,No,No,Yes,Yes,No,No
232,Female,75,43,376.16,317377.47,Monthly,Digital Wallet,DSL,No,Yes,Yes,No,Yes,Yes,No
233,Female,40,47,9503.67,427995.66,Semi Annually,Credit Card,DSL,No,Yes,No,No,No,Yes,Yes
234,Female,76,14,9796.75,25710.66,Annually,Digital Wallet,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes
235,Female,71,66,2810.5,57600.56,Monthly,Digital Wallet,Fiber optic,Yes,No,Yes,No,Yes,Yes,No
236,Female,33,29,1984.63,481774.75,Quarterly,Cheque,DSL,Yes,No,Yes,No,Yes,No,No
237,Female,18,4,1905.82,704590.19,Semi Annually,Cash,DSL,Yes,Yes,Yes,No,Yes,No,No
238,Female,29,26,5674.58,399782.7,Annually,Credit Card,No,Yes,Yes,Yes,Yes,No,Yes,Yes
239,Male,41,12,3108.65,140329.92,Monthly,Digital Wallet,Fiber optic,No,Yes,No,Yes,No,Yes,No
240,Female,51,2,6234.0,101740.58,Monthly,Cash,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes
241,Female,70,17,4741.25,720832.52,Quarterly,Cash,Fiber optic,No,No,Yes,Yes,Yes,No,Yes
242,Male,74,35,2688.51,564293.9,Semi Annually,Cash,DSL,No,Yes,Yes,Yes,Yes,Yes,No
243,Female,25,10,9064.06,773294.49,Quarterly,Cash,Fiber optic,Yes,Yes,Yes,No,No,No,No
244,Male,35,43,1974.29,75055.41,Annually,Cheque,DSL,Yes,No,No,No,Yes,No,Yes
245,Male,74,21,9627.05,723064.16,Monthly,Cheque,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes
